S.no,Instagram name,Name,Subscribers,Audience country,Authentic engagement,Engagement average,Category_1,Category_2
1,cristiano,Cristiano Ronaldo,477900000.0,india,5000000.0,6200000.0,sports with a ball,unknown
2,kyliejenner,Kylie 🤍,368100000.0,united states,3500000.0,5500000.0,fashion,modeling
3,arianagrande,Ariana Grande,329600000.0,united states,2900000.0,4000000.0,unknown,unknown
4,leomessi,Leo Messi,358600000.0,indonesia,2700000.0,3500000.0,sports with a ball,family
5,zendaya,Zendaya,151100000.0,united states,4300000.0,5800000.0,cinema & actors/actresses,fashion
6,selenagomez,Selena Gomez,344200000.0,united states,1800000.0,2400000.0,lifestyle,unknown
7,taylorswift,Taylor Swift,223500000.0,brazil,2500000.0,3300000.0,unknown,unknown
8,thv,V,50800000.0,south korea,12700000.0,12700000.0,unknown,unknown
9,virat.kohli,Virat Kohli,212600000.0,india,2600000.0,2900000.0,sports with a ball,unknown
10,beyonce,Beyoncé,274100000.0,united states,1500000.0,2100000.0,fashion,unknown
11,kimkardashian,Kim Kardashian,329800000.0,united states,1200000.0,1600000.0,fashion,beauty
12,tomholland2013,Tom Holland,68000000.0,united states,6300000.0,7700000.0,cinema & actors/actresses,unknown
13,j.m,JIMIN,43500000.0,south korea,11600000.0,11600000.0,unknown,unknown
14,billieeilish,BILLIE EILISH,106200000.0,united states,3500000.0,4600000.0,unknown,unknown
15,lalalalisa_m,LISA,81700000.0,indonesia,5000000.0,5800000.0,unknown,unknown
16,justinbieber,Justin Bieber,256300000.0,brazil,1300000.0,1800000.0,unknown,unknown
17,neymarjr,NJ 🇧🇷,178100000.0,brazil,1500000.0,2200000.0,sports with a ball,unknown
18,agustd,SUGA of BTS 민윤기,38300000.0,south korea,9900000.0,9900000.0,lifestyle,unknown
19,sooyaaa__,JISOO🤍,63800000.0,indonesia,4900000.0,5600000.0,beauty,unknown
20,jin,Jin of BTS,39500000.0,united states,8800000.0,8800000.0,unknown,unknown
21,kendalljenner,Kendall,255400000.0,united states,852000.0,1300000.0,modeling,fashion
22,karolg,KAROL G,56200000.0,mexico,5000000.0,6100000.0,unknown,unknown
23,kourtneykardash,Kourtney Kardashian Barker,196400000.0,united states,1200000.0,1700000.0,lifestyle,unknown
24,khaby00,Khaby Lame,79300000.0,india,2800000.0,3900000.0,sports with a ball,unknown
25,uarmyhope,jhope,39400000.0,south korea,7800000.0,7800000.0,unknown,unknown
26,jennierubyjane,J,69800000.0,indonesia,3700000.0,4400000.0,unknown,unknown
27,roses_are_rosie,ROSÉ,62700000.0,indonesia,3700000.0,4300000.0,unknown,unknown
28,badbunnypr,badbunnypr,42800000.0,united states,3600000.0,5600000.0,unknown,unknown
29,milliebobbybrown,Millie Bobby Brown,58400000.0,brazil,3100000.0,4000000.0,cinema & actors/actresses,unknown
30,jlo,Jennifer Lopez,220900000.0,united states,830400.0,1100000.0,cinema & actors/actresses,unknown
31,zayn,Zayn Malik,47000000.0,india,3100000.0,4900000.0,unknown,unknown
32,rkive,RM,37800000.0,united states,5900000.0,5900000.0,lifestyle,unknown
33,instagram,Instagram,546600000.0,india,285400.0,356600.0,photography,unknown
34,bts.bighitofficial,BTS official,67500000.0,indonesia,2500000.0,2700000.0,unknown,unknown
35,iamcardib,Cardi B,140400000.0,united states,893800.0,1300000.0,fashion,unknown
36,jungkook.97,전 정국 이올시다,45800000.0,united states,3800000.0,3800000.0,unknown,unknown
37,champagnepapi,champagnepapi,120200000.0,united states,877000.0,1400000.0,unknown,unknown
38,therock,Dwayne Johnson,335900000.0,india,375200.0,477500.0,cinema & actors/actresses,fitness & gym
39,nickiminaj,Barbie,201800000.0,united states,486100.0,765500.0,unknown,unknown
40,narendramodi,Narendra Modi,69300000.0,india,1800000.0,2000000.0,finance & economics,business & careers
41,kingjames,👑,131500000.0,united states,618300.0,1100000.0,sports with a ball,unknown
42,khloekardashian,Khloé Kardashian,268399999.99999997,united states,403100.0,499300.0,clothing & outfits,lifestyle
43,dualipa,DUA LIPA,86300000.0,united states,1200000.0,1500000.0,unknown,unknown
44,willsmith,Will Smith,63700000.0,united states,1600000.0,1900000.0,cinema & actors/actresses,unknown
45,shawnmendes,Shawn Mendes,70200000.0,brazil,1200000.0,1700000.0,unknown,unknown
46,eunwo.o_c,차은우,30200000.0,indonesia,3200000.0,3900000.0,lifestyle,unknown
47,harrystyles,harrystyles,47300000.0,united states,1700000.0,2300000.0,fashion,unknown
48,dlwlrma,이지금 IU,27600000.0,south korea,3200000.0,3800000.0,unknown,unknown
49,actorleeminho,이민호 leeminho,30700000.0,indonesia,2600000.0,3400000.0,cinema & actors/actresses,unknown
50,noahschnapp,Noah Schnapp,27500000.0,brazil,2800000.0,3700000.0,cinema & actors/actresses,unknown
51,adele,Adele,50800000.0,united states,1400000.0,1900000.0,unknown,unknown
52,shraddhakapoor,Shraddha ✶,74400000.0,india,1100000.0,1300000.0,cinema & actors/actresses,unknown
53,gigihadid,Gigi Hadid,75400000.0,united states,795500.0,1200000.0,modeling,lifestyle
54,oliviarodrigo,Olivia Rodrigo,27800000.0,india,2500000.0,3100000.0,cinema & actors/actresses,unknown
55,georginagio,Georgina Rodríguez,39100000.0,india,1500000.0,2100000.0,lifestyle,fashion
56,katrinakaif,Katrina Kaif,66599999.99999999,india,1100000.0,1200000.0,beauty,unknown
57,haileybieber,Hailey Rhode Baldwin Bieber,47600000.0,united states,1300000.0,1700000.0,lifestyle,modeling
58,k.mbappe,Kylian Mbappé,72600000.0,france,797200.0,1100000.0,sports with a ball,unknown
59,blakelively,Blake Lively,35000000.0,united states,1500000.0,2300000.0,cinema & actors/actresses,unknown
60,anushkasharma,AnushkaSharma1588,59700000.0,india,1200000.0,1300000.0,cinema & actors/actresses,unknown
61,nasa,NASA,82300000.0,india,800400.0,961700.0,science,photography
62,handemiyy,Hande Erçel,28900000.0,turkey,2100000.0,2700000.0,cinema & actors/actresses,unknown
63,sadiesink_,Sadie Sink,24600000.0,brazil,2200000.0,3100000.0,modeling,lifestyle
64,ester_exposito,Ester 🌙,29200000.0,mexico,1700000.0,2500000.0,cinema & actors/actresses,unknown
65,johnnydepp,Johnny Depp,27600000.0,india,1900000.0,2500000.0,cinema & actors/actresses,unknown
66,chrishemsworth,Chris Hemsworth,56000000.0,india,929300.0,1200000.0,cinema & actors/actresses,unknown
67,robertdowneyjr,Robert Downey Jr. Official,53400000.0,india,987500.0,1200000.0,cinema & actors/actresses,unknown
68,jongsuk0206,이종석,23500000.0,indonesia,2100000.0,2800000.0,cinema & actors/actresses,unknown
69,karimbenzema,Karim Benzema,57100000.0,france,798600.0,1100000.0,sports with a ball,unknown
70,fcbarcelona,FC Barcelona,111900000.0,indonesia,383800.0,585400.0,sports with a ball,unknown
71,charlidamelio,charli,49100000.0,united states,1100000.0,1300000.0,lifestyle,shows
72,camila_cabello,camila,65099999.99999999,brazil,704300.0,956700.0,unknown,unknown
73,bn_sj2013,박서준,22700000.0,indonesia,2200000.0,2600000.0,cinema & actors/actresses,modeling
74,lelepons,Lele Pons,49400000.0,mexico,759900.0,1200000.0,unknown,unknown
75,realmadrid,Real Madrid C.F.,124600000.0,spain,324400.0,450700.0,sports with a ball,unknown
76,blackpinkofficial,BLΛƆKPIИK,49000000.0,indonesia,907000.0,1100000.0,unknown,unknown
77,ddlovato,Demi Lovato,139200000.0,united states,302700.0,392000.0,unknown,unknown
78,gal_gadot,Gal Gadot,86400000.0,united states,485500.0,627300.0,cinema & actors/actresses,unknown
79,dishapatani,disha patani (paatni) 🦋,53600000.0,india,802500.0,988000.0,cinema & actors/actresses,lifestyle
80,niallhoran,Niall Horan,30500000.0,united states,1200000.0,1700000.0,unknown,unknown
81,rashmika_mandanna,Rashmika Mandanna,33100000.0,india,1300000.0,1600000.0,beauty,cinema & actors/actresses
82,dojacat,Doja Cat,24200000.0,united states,1500000.0,2000000.0,unknown,unknown
83,dovecameron,DOVE,48300000.0,united states,767900.0,1000000.0,cinema & actors/actresses,unknown
84,realstraykids,Stray Kids,22700000.0,indonesia,1700000.0,2100000.0,unknown,unknown
85,beingsalmankhan,Salman Khan,53900000.0,india,690300.0,883400.0,cinema & actors/actresses,unknown
86,ursulolita,Úrsula Corberó ✨,23700000.0,brazil,1400000.0,2000000.0,cinema & actors/actresses,modeling
87,paulodybala,Paulo Dybala,48600000.0,argentina,583500.0,934000.0,sports with a ball,unknown
88,songkang_b,송강,14700000.0,mexico,2200000.0,3000000.0,unknown,unknown
89,virginia,Virginia Fonseca Costa,39200000.0,brazil,708400.0,1100000.0,shows,lifestyle
90,hardikpandya93,Hardik Himanshu Pandya,23000000.0,india,1500000.0,1900000.0,sports with a ball,unknown
91,jacksonwang852g7,Jackson Wang,30000000.0,china,1200000.0,1400000.0,unknown,unknown
92,zacefron,Zac Efron,54800000.0,united states,534400.0,774700.0,cinema & actors/actresses,unknown
93,jacquelinef143,Jacqueline Fernandez,63000000.0,india,551400.0,672100.0,cinema & actors/actresses,unknown
94,yawnzzn,YEONJUN,10700000.0,india,3000000.0,3900000.0,unknown,unknown
95,oohsehun,SEHUN,23200000.0,indonesia,1500000.0,1800000.0,unknown,unknown
96,bellahadid,Bella 🦋,54600000.0,united states,474500.0,758900.0,modeling,unknown
97,kimberly.loaiza,KIM LOAIZA 🖤,35800000.0,mexico,959200.0,1200000.0,clothing & outfits,lifestyle
98,iamzlatanibrahimovic,Zlatan Ibrahimović,55400000.0,italy,481000.0,740700.0,sports with a ball,unknown
99,chrisevans,Chris Evans,17700000.0,united states,1900000.0,2300000.0,cinema & actors/actresses,unknown
100,maluma,MALUMA,62900000.0,italy,413300.0,636900.0,unknown,unknown
101,aliaabhatt,Alia Bhatt 🤍☀️,69700000.0,india,452500.0,560000.0,cinema & actors/actresses,unknown
102,tchalamet,Timothée Chalamet,17800000.0,united states,1300000.0,2200000.0,cinema & actors/actresses,unknown
103,championsleague,UEFA Champions League,97600000.0,brazil,285700.0,389300.0,sports with a ball,unknown
104,vindiesel,Vin Diesel,82700000.0,brazil,353200.0,457400.0,cinema & actors/actresses,unknown
105,anitta,Anitta 🎤,63200000.0,brazil,316200.0,590400.0,unknown,unknown
106,kiaraaliaadvani,KIARA,25000000.0,india,1200000.0,1400000.0,cinema & actors/actresses,unknown
107,shahidkapoor,Shahid Kapoor,35700000.0,india,858000.0,971600.0,cinema & actors/actresses,unknown
108,davidbeckham,David Beckham,75100000.0,india,360500.0,462300.0,family,sports with a ball
109,finnwolfhardofficial,Finn Wolfhard,26300000.0,brazil,1000000.0,1300000.0,cinema & actors/actresses,unknown
110,mosalah,Mohamed Salah,52700000.0,egypt,458800.0,650000.0,sports with a ball,unknown
111,priyankachopra,Priyanka,81800000.0,india,343400.0,417300.0,cinema & actors/actresses,unknown
112,antonelaroccuzzo,Antonela Roccuzzo,20200000.0,argentina,1000000.0,1700000.0,modeling,family
113,tyga,T-Raww,36500000.0,united states,628400.0,939200.0,unknown,unknown
114,hoooooyeony,Hoyeon,22900000.0,south korea,1100000.0,1500000.0,lifestyle,unknown
115,lucas_xx444,LUCAS,11500000.0,indonesia,2400000.0,3000000.0,unknown,unknown
116,mrbeast,MrBeast,19900000.0,united states,1200000.0,1700000.0,shows,humor & fun & happiness
117,jenniferaniston,Jennifer Aniston,40700000.0,brazil,554900.0,805300.0,cinema & actors/actresses,unknown
118,iamsrk,Shah Rukh Khan,30400000.0,india,863300.0,1100000.0,cinema & actors/actresses,unknown
119,kritisanon,Kriti,50600000.0,india,547600.0,638300.0,modeling,unknown
120,chrisbrownofficial,BREEZY,119100000.0,united states,172000.0,268200.0,unknown,unknown
121,_rl9,Robert Lewandowski,29400000.0,poland,844400.0,1100000.0,sports with a ball,unknown
122,deepikapadukone,Deepika Padukone,68800000.0,india,342000.0,446200.0,cinema & actors/actresses,unknown
123,pewdiepie,PewDiePie,21800000.0,united states,1200000.0,1400000.0,computers & gadgets,unknown
124,madelame,Madelaine Petsch,25200000.0,russia,861200.0,1200000.0,cinema & actors/actresses,unknown
125,ronaldinho,Ronaldo de Assis Moreira,67800000.0,brazil,256200.0,445600.0,sports with a ball,unknown
126,alluarjunonline,Allu Arjun,19100000.0,india,1300000.0,1600000.0,cinema & actors/actresses,unknown
127,rosalia.vt,LA ROSALÍA,21900000.0,spain,1000000.0,1400000.0,unknown,unknown
128,emrata,Emily Ratajkowski,29600000.0,united states,629900.0,1000000.0,modeling,unknown
129,addisonraee,Addison Rae,40000000.0,united states,481000.0,742200.0,beauty,unknown
130,433,433,51600000.0,spain,339400.0,563900.0,sports with a ball,unknown
131,katyperry,KATY PERRY,171200000.0,brazil,130500.0,168300.0,unknown,unknown
132,_jeongjaehyun,Jaehyun,12400000.0,indonesia,1900000.0,2300000.0,unknown,unknown
133,madisonbeer,Madison Beer,32400000.0,united states,588900.0,879500.0,unknown,unknown
134,marcelotwelve,Marcelo Vieira,58500000.0,spain,325700.0,484200.0,sports with a ball,unknown
135,phs1116,박형식 / PARKHYUNGSIK,10500000.0,indonesia,2200000.0,2700000.0,business & careers,unknown
136,sergioramos,Sergio Ramos,53100000.0,spain,344100.0,527400.0,sports with a ball,unknown
137,casemiro,Casemiro,17400000.0,brazil,1100000.0,1600000.0,sports with a ball,unknown
138,emmachamberlain,emma chamberlain,16100000.000000002,united states,1100000.0,1700000.0,lifestyle,shows
139,luvadepedreiro,Iran Ferreira,18400000.0,brazil,894200.0,1500000.0,family,sports with a ball
140,rohittt_09_,𝐑𝐨𝐡𝐢𝐭 𝐙𝐢𝐧𝐣𝐮𝐫𝐤𝐞 ~ 𝐫𝐞𝐚𝐜𝐭𝐢𝐨𝐧𝐛𝐨𝐢 💫,24100000.0,india,807500.0,1100000.0,shows,lifestyle
141,nike,Nike,235700000.0,united states,89700.0,116200.0,fitness & gym,shopping & retail
142,luisitocomunica,Luisillo El Pillo,32400000.0,mexico,627100.0,828500.0,humor & fun & happiness,clothing & outfits
143,miakhalifa,Mia K.,27700000.0,india,605500.0,968500.0,fitness & gym,lifestyle
144,theweeknd,The Weeknd,42900000.0,united states,456600.0,618700.0,unknown,unknown
145,ladygaga,Lady Gaga,53300000.0,united states,351000.0,492300.0,cinema & actors/actresses,unknown
146,varundvn,VarunDhawan,44100000.0,india,484000.0,589800.0,cinema & actors/actresses,unknown
147,zefelipecantor,Zé,25000000.0,brazil,591400.0,1000000.0,unknown,unknown
148,manchesterunited,Manchester United,60200000.0,united kingdom,265600.0,425000.0,sports with a ball,unknown
149,sidhu_moosewala,Sidhu Moosewala (ਮੂਸੇ ਆਲਾ),11200000.0,india,2000000.0,2400000.0,lifestyle,unknown
150,thedeverakonda,Vijay Deverakonda,17500000.0,india,1200000.0,1400000.0,cinema & actors/actresses,unknown
151,emilia_clarke,emilia_clarke,27000000.0,india,733500.0,922200.0,cinema & actors/actresses,unknown
152,elrubiuswtf,el rubius WTF,17300000.0,mexico,1300000.0,1400000.0,computers & gadgets,unknown
153,hegdepooja,Pooja Hegde,21300000.0,india,995700.0,1100000.0,cinema & actors/actresses,unknown
154,vinijr,Vinicius Jr. ⚡️🇧🇷,22300000.0,brazil,610100.0,1100000.0,sports with a ball,lifestyle
155,feliciathegoat,"Tyler, The Creator",13200000.0,united states,1100000.0,1800000.0,unknown,unknown
156,lewishamilton,Lewis Hamilton,29800000.0,brazil,564500.0,810500.0,racing sports,unknown
157,zidane,zidane,33700000.0,spain,524200.00000000006,714000.0,sports with a ball,unknown
158,natgeo,National Geographic,238300000.0,united states,78800.0,100300.0,nature & landscapes,science
159,madelyncline,Maddie,12600000.0,united states,1300000.0,1900000.0,cinema & actors/actresses,unknown
160,henrycavill,Henry Cavill,21700000.0,brazil,897000.0,1100000.0,cinema & actors/actresses,unknown
161,theestallion,Megan Thee Stallion,29800000.0,united states,451400.0,788200.0,unknown,unknown
162,saraalikhan95,Sara Ali Khan,41200000.0,india,459900.0,561200.0,cinema & actors/actresses,unknown
163,jacobelordi,Jacob Elordi,13200000.0,brazil,1100000.0,1700000.0,cinema & actors/actresses,unknown
164,bizarrap,BZRP,14900000.0,argentina,1300000.0,1500000.0,unknown,unknown
165,leedongwook_official,이동욱 (Official_Instagram),14800000.0,indonesia,1200000.0,1600000.0,cinema & actors/actresses,unknown
166,thenameisyash,Yash,11200000.0,india,1700000.0,2000000.0,cinema & actors/actresses,unknown
167,hrithikroshan,Hrithik Roshan,43900000.0,india,407500.0,515700.00000000006,cinema & actors/actresses,unknown
168,kapilsharma,Kapil Sharma,42600000.0,india,463900.0,528600.0,cinema & actors/actresses,shows
169,shakira,Shakira,76200000.0,india,216500.0,296200.0,unknown,unknown
170,jichangwook,지창욱,21400000.0,indonesia,828300.0,1100000.0,cinema & actors/actresses,unknown
171,imhyoseop,안효섭,8900000.0,indonesia,2200000.0,2500000.0,lifestyle,unknown
